,행사명,장소,행사내용,행사 시작일자,행사 종료일자,행사 시작시각,행사 종료시각,위도,경도
16,국악관현악단 제127회 정기연주회 [신나는 국악여행],광주광역시 북구 광주문화예술회관 소극장,"광주시립국악관현악단이 올 여름, 온 가족이 함께 즐길 수 있는 새로운 레퍼토리 공연 ‘구연동화극 <신나는 국악여행>’의 첫 선을 보인다. 우리음악의 멋과 아름다움을 알리기 위해 개성 있는 무대를 선보여 왔던 광주시립국악관현악단이 이번에는 아이들을 대상으로 한 색다른 형식의 기획 공연을 통해 신명나는 무대를 선사한다.",2021-07-23,2021-07-25,15:00:00,16:00:00,35.17820945,126.881993
17,GAC 11시 음악산책 4 - 차진엽의 지구 모자이크화,광주광역시 북구 광주문화예술회관 소극장,우주선에 실어 보낼 지구의 소리 를 만든다는 상상력으로 기획된 이번 공연은  스타 무용수 로 불리는 차진엽이 무대를 꾸민다. 차진엽은  장소 특정적 공연 을 선도하며 무용계의 새로운 흐름을 만든 주인공이다. 대표작  원형하는 몸 +  페이크 다이아몬드  등을 감상하며 그녀의 정체성을 표현하는 안무를 감상하는 시간을 갖는다.,2021-07-28,2021-07-28,11:00:00,12:10:00,35.17820945,126.881993
18,포시즌-박수를 보내다 : 독주회 시리즈Ⅱ <원재연 피아노 리사이틀 >,광주광역시 북구 광주문화예술회관 소극장,지난 해 베토벤을 조명한 에 이어… 올해는 슈만 브람서 선보일  피아니스트 원재연 전국 투어 리사이틀 ,2021-08-21,2021-08-21,19:30:00,21:00:00,35.17820945,126.881993
19,"GAC 11시 음악산책 5 - 조진주, 소리너머",광주광역시 북구 광주문화예술회관 소극장,"동물과 자연을 사랑하는 음악가, 소리주변과 소리너머의 세계에 대한 호기심을 포기하지 않는 바이올리니스트 조진주와의 만남",2021-08-25,2021-08-25,11:00:00,12:10:00,35.17820945,126.881993
20,"[광주시립교향악단] 제 357회 정기연주회,Healing in nature",광주광역시 북구 광주문화예술회관 소극장,광주시립교향악단 정기공연,2021-08-26,2021-08-26,19:30:00,21:00:00,35.17820945,126.881993
21,광주시립극단 기획공연 제1회 창작희곡공모 당선작 낭독공연  양림 -1,광주광역시 북구 광주문화예술회관 소극장,양림을 배경으로 가상 인물과 사건을 가미해 창작한 희곡,2021-08-30,2021-08-30,16:00:00,17:30:00,35.17820945,126.881993
22,광주시립극단 기획공연 제1회 창작희곡공모 당선작 낭독공연  양림 -2,광주광역시 북구 광주문화예술회관 소극장,양림을 배경으로 가상 인물과 사건을 가미해 창작한 희곡,2021-08-30,2021-08-30,19:30:00,21:00:00,35.17820945,126.881993
23,"광주문화예술회관 기획공연 포커스 5 <밴드루시, LUCY ISLAND>",광주광역시 북구 광주문화예술회관 소극장,LUCY는 JTBC <슈퍼밴드>에 출연하여 앰비언스 사운드를 이용한 음악을 통해 대중들의 이목을 집중 시키며 준우승을 차지한 밴드루시의 공연,2021-08-31,2021-08-31,19:30:00,21:00:00,35.17820945,126.881993
24,GAC기획공연 넌버벌 퍼포먼스 <Performance B-cut>,광주광역시 북구 광주문화예술회관 소극장,"영화 <스텝 업>을 연상시키는 스트릿 댄스, 비트박스, 현대무용 등이 융합된 남녀노소 쉽게 관람할 수 있는 넌버벌 퍼포먼스",2021-09-03,2021-09-03,19:30:00,20:40:00,35.17820945,126.881993
25,포시즌-박수를 보내다 : 독주회 시리즈 Ⅲ <양인모 바이올린 리사이틀>,광주광역시 북구 광주문화예술회관 소극장,양인모 바이올린 리사이틀 현의 유전학,2021-09-06,2021-09-06,19:30:00,21:00:00,35.17820945,126.881993
